Zone,Vegetation,Year,Date,Species,Length,Dominant_age_group,Latitude,Longitude
3,Eelgrass,2008,5/27/2008,Chinook_salmon,83,No,48.32099,-122.4946
1,Eelgrass,2008,5/28/2008,Chinook_salmon,76,No,48.37636,-122.55731
1,Eelgrass,2008,5/28/2008,Chinook_salmon,92,No,48.37636,-122.55731
3,Eelgrass,2008,6/25/2008,Chinook_salmon,57,Yes,48.31565,-122.48015
3,Eelgrass,2008,6/25/2008,Chinook_salmon,65,Yes,48.31278,-122.48617
3,Eelgrass,2008,6/25/2008,Chinook_salmon,68,Yes,48.31278,-122.48617
3,Eelgrass,2008,6/25/2008,Chinook_salmon,77,Yes,48.31278,-122.48617
3,Eelgrass,2008,6/25/2008,Chinook_salmon,81,Yes,48.32099,-122.4946
3,Eelgrass,2008,6/25/2008,Chinook_salmon,81,Yes,48.32099,-122.4946
3,Eelgrass,2008,6/25/2008,Chinook_salmon,82,Yes,48.32099,-122.4946
4,Eelgrass,2008,6/25/2008,Chinook_salmon,84,Yes,48.29408,-122.47798
3,Eelgrass,2008,6/25/2008,Chinook_salmon,85,Yes,48.31278,-122.48617
3,Eelgrass,2008,6/25/2008,Chinook_salmon,86,Yes,48.31278,-122.48617
3,Eelgrass,2008,6/25/2008,Chinook_salmon,86,Yes,48.32099,-122.4946
4,Eelgrass,2008,6/25/2008,Chinook_salmon,88,Yes,48.29408,-122.47798
3,Eelgrass,2008,6/25/2008,Chinook_salmon,90,Yes,48.32099,-122.4946
3,Eelgrass,2008,6/25/2008,Chinook_salmon,92,Yes,48.31278,-122.48617
3,Eelgrass,2008,6/25/2008,Chinook_salmon,105,Yes,48.31278,-122.48617
4,Eelgrass,2008,6/25/2008,Chinook_salmon,142,No,48.29632,-122.45766
4,Eelgrass,2008,6/25/2008,Chinook_salmon,145,No,48.29632,-122.45766
2,Eelgrass,2008,6/26/2008,Chinook_salmon,43,Yes,48.3335,-122.509
1,Eelgrass,2008,6/26/2008,Chinook_salmon,81,Yes,48.37638,-122.5559
2,Eelgrass,2008,6/26/2008,Chinook_salmon,86,Yes,48.33512,-122.5183
4,Eelgrass,2008,6/26/2008,Chinook_salmon,91,Yes,48.28379,-122.48098
2,Eelgrass,2008,6/26/2008,Chinook_salmon,92,Yes,48.335,-122.507
2,Eelgrass,2008,6/26/2008,Chinook_salmon,95,Yes,48.3335,-122.509
3,Eelgrass,2008,6/26/2008,Chinook_salmon,96,Yes,48.32678,-122.50353
4,Eelgrass,2008,6/26/2008,Chinook_salmon,142,No,48.28379,-122.48098
4,Eelgrass,2008,7/14/2008,Chinook_salmon,72,Yes,48.29632,-122.45766
1,Eelgrass,2008,7/14/2008,Chinook_salmon,75,Yes,48.37636,-122.55731
4,Eelgrass,2008,7/14/2008,Chinook_salmon,77,Yes,48.29408,-122.47798
1,Eelgrass,2008,7/14/2008,Chinook_salmon,78,Yes,48.37636,-122.55731
4,Eelgrass,2008,7/14/2008,Chinook_salmon,79,Yes,48.29408,-122.47798
3,Eelgrass,2008,7/14/2008,Chinook_salmon,104,Yes,48.32678,-122.50353
2,Eelgrass,2008,7/15/2008,Chinook_salmon,63,Yes,48.33233,-122.52127
2,Eelgrass,2008,7/15/2008,Chinook_salmon,69,Yes,48.33233,-122.52127
2,Eelgrass,2008,7/15/2008,Chinook_salmon,75,Yes,48.335,-122.507
2,Eelgrass,2008,7/15/2008,Chinook_salmon,76,Yes,48.335,-122.507
2,Eelgrass,2008,7/15/2008,Chinook_salmon,76,Yes,48.335,-122.507
2,Eelgrass,2008,7/15/2008,Chinook_salmon,78,Yes,48.335,-122.507
2,Eelgrass,2008,7/15/2008,Chinook_salmon,80,Yes,48.335,-122.507
2,Eelgrass,2008,7/15/2008,Chinook_salmon,80,Yes,48.335,-122.507
2,Eelgrass,2008,7/15/2008,Chinook_salmon,83,Yes,48.335,-122.507
2,Eelgrass,2008,7/15/2008,Chinook_salmon,83,Yes,48.3335,-122.509
2,Eelgrass,2008,7/15/2008,Chinook_salmon,83,Yes,48.3335,-122.509
3,Eelgrass,2008,7/15/2008,Chinook_salmon,160,No,48.32588,-122.50449
